글쓰기,읽고이해하기,듣고이해하기,말하기,수리력,논리적분석,창의력,범주화,기억력,공간지각력,추리력,학습전략,선택적집중력,모니터링,사람파악,행동조정,설득,협상,가르치기,서비스지향,문제해결,판단과의사결정,시간관리,재정관리,물적자원관리,인적자원관리,기술분석,기술설계,장비선정,설치,전산,품질관리분석,조작및통제,장비의유지,고장의발견.수리,작동점검,조직체계의분석및평가,정교한동작,움직임통제,반응시간과속도,신체적강인성,유연성및균형,시력,청력,knowcode
5.0,7.0,6.0,8.0,,8.0,6.0,4.0,7.0,6.0,6.0,4.0,6.0,9.0,7.0,6.0,8.0,7.0,6.0,8.0,6.0,8.0,8.0,7.0,8.0,7.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,6.0,6.0,3.0,4.0,9.0,4.0,7.0,6.0,4.0,8.0,3.0,511201
8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,,7.0,6.0,6.0,6.0,5.0,6.0,,9.0,9.0,140503
5.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,,5.0,7.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,7.0,5.0,4.0,6.0,4.0,7.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,4.0,7.0,6.0,5.0,511201
,,4.0,4.0,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,416202
5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,420402
6.0,7.0,7.0,7.0,4.0,4.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,9.0,7.0,8.0,6.0,6.0,11.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,8.0,9.0,307501
,,,7.0,7.0,7.0,,,,,4.0,4.0,4.0,,,4.0,4.0,4.0,7.0,7.0,7.0,4.0,4.0,,7.0,7.0,7.0,9.0,9.0,9.0,4.0,,,7.0,9.0,7.0,,7.0,,,,,,,811401
6.0,9.0,9.0,9.0,6.0,7.0,7.0,7.0,8.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,9.0,7.0,7.0,8.0,7.0,9.0,9.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,7.0,,,,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,9.0,213001
7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,,6.0,5.0,5.0,5.0,,7.0,7.0,,,,,,,,140503
4.0,7.0,7.0,8.0,5.0,,,4.0,7.0,4.0,,5.0,6.0,,7.0,5.0,7.0,,8.0,4.0,8.0,7.0,6.0,,,,4.0,,5.0,6.0,,10.0,7.0,7.0,8.0,8.0,,8.0,6.0,7.0,7.0,,7.0,5.0,817201
6.0,6.0,7.0,7.0,6.0,,,6.0,7.0,,5.0,7.0,,,9.0,6.0,8.0,,,11.0,6.0,,8.0,,8.0,,,,,,5.0,,,,,,,,,,,,5.0,7.0,615401
4.0,8.0,9.0,11.0,10.0,10.0,,8.0,7.0,,4.0,7.0,7.0,7.0,,,5.0,9.0,5.0,10.0,9.0,11.0,9.0,11.0,,,7.0,,,,10.0,,,,,,7.0,,,5.0,,,7.0,7.0,32201
7.0,9.0,11.0,12.0,8.0,6.0,9.0,11.0,9.0,,9.0,12.0,12.0,9.0,7.0,9.0,10.0,8.0,11.0,,9.0,9.0,7.0,,12.0,12.0,12.0,12.0,10.0,11.0,12.0,,12.0,12.0,10.0,12.0,7.0,9.0,12.0,,,,9.0,9.0,13601
10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,10.0,10.0,4.0,,,,10.0,4.0,4.0,4.0,,4.0,7.0,4.0,521101
,,5.0,7.0,,,,4.0,6.0,4.0,,,,,6.0,6.0,5.0,,,5.0,,4.0,,,,4.0,,,,,,,,,,,,,,,,,6.0,6.0,416202
,,,,,7.0,,7.0,3.0,6.0,,6.0,8.0,,,,5.0,,5.0,6.0,6.0,6.0,8.0,6.0,5.0,6.0,9.0,8.0,7.0,7.0,4.0,6.0,6.0,8.0,11.0,6.0,5.0,5.0,6.0,10.0,9.0,6.0,6.0,7.0,811401
,,5.0,6.0,4.0,,,6.0,4.0,,,,4.0,,6.0,5.0,,,,8.0,,,5.0,,,,,,5.0,,,,5.0,,,,,7.0,6.0,6.0,4.0,4.0,6.0,4.0,615701
5.0,9.0,7.0,9.0,,7.0,,7.0,7.0,,7.0,7.0,9.0,7.0,9.0,9.0,9.0,7.0,7.0,9.0,9.0,7.0,9.0,,,,,,,,4.0,,,,,,4.0,,4.0,,,,,6.0,29904
4.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,,6.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,5.0,6.0,8.0,8.0,6.0,7.0,6.0,8.0,10.0,7.0,6.0,6.0,901201
6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,4.0,5.0,5.0,7.0,9.0,7.0,6.0,7.0,7.0,5.0,9.0,9.0,9.0,7.0,6.0,9.0,7.0,10.0,11.0,10.0,11.0,4.0,10.0,11.0,11.0,11.0,11.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,811501
,3.0,7.0,7.0,6.0,4.0,,7.0,7.0,7.0,,7.0,7.0,,9.0,8.0,5.0,5.0,6.0,9.0,9.0,7.0,10.0,5.0,5.0,7.0,,5.0,9.0,8.0,,8.0,7.0,10.0,9.0,9.0,,3.0,8.0,9.0,9.0,7.0,7.0,8.0,615701
10.0,8.0,10.0,8.0,5.0,7.0,11.0,8.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,7.0,8.0,5.0,4.0,9.0,9.0,5.0,4.0,4.0,4.0,8.0,5.0,9.0,5.0,9.0,5.0,6.0,,24404
5.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,8.0,9.0,7.0,7.0,9.0,7.0,7.0,9.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,153102
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0,7.0,8.0,9.0,7.0,9.0,7.0,8.0,8.0,6.0,10.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,140503
9.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,7.0,8.0,10.0,8.0,6.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,6.0,9.0,7.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,,4.0,5.0,5.0,3.0,6.0,5.0,3.0,6.0,5.0,6.0,6.0,7.0,213001
6.0,7.0,7.0,6.0,5.0,7.0,,6.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,7.0,6.0,6.0,7.0,8.0,7.0,8.0,6.0,,,,5.0,,7.0,7.0,6.0,6.0,9.0,9.0,9.0,9.0,,8.0,8.0,7.0,8.0,7.0,8.0,7.0,815001
7.0,7.0,7.0,12.0,10.0,11.0,10.0,10.0,7.0,11.0,11.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,702502
8.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,306502
8.0,8.0,7.0,8.0,6.0,7.0,5.0,8.0,8.0,8.0,6.0,8.0,9.0,7.0,9.0,7.0,5.0,,7.0,,8.0,9.0,6.0,6.0,7.0,,7.0,8.0,6.0,5.0,5.0,7.0,,,,,8.0,6.0,8.0,5.0,5.0,,8.0,6.0,155304
6.0,5.0,5.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,8.0,5.0,6.0,8.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,6.0,5.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,6.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,842301
5.0,9.0,9.0,6.0,7.0,7.0,10.0,6.0,7.0,8.0,7.0,6.0,8.0,9.0,5.0,8.0,8.0,4.0,7.0,8.0,7.0,8.0,8.0,5.0,8.0,6.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,9.0,6.0,414201
5.0,5.0,9.0,,8.0,5.0,8.0,5.0,5.0,5.0,5.0,8.0,6.0,,5.0,7.0,,,5.0,7.0,,5.0,9.0,7.0,,6.0,9.0,5.0,10.0,7.0,,,10.0,9.0,7.0,6.0,5.0,9.0,5.0,9.0,6.0,6.0,11.0,9.0,885101
5.0,6.0,6.0,6.0,6.0,7.0,,7.0,6.0,5.0,,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,9.0,4.0,7.0,4.0,4.0,,6.0,4.0,4.0,4.0,4.0,7.0,5.0,5.0,5.0,7.0,6.0,7.0,4.0,702601
9.0,9.0,12.0,7.0,9.0,7.0,7.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,4.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,7.0,11.0,7.0,9.0,7.0,,5.0,5.0,9.0,7.0,,,,,,,,,,,7.0,8.0,521101
6.0,6.0,7.0,8.0,6.0,5.0,5.0,8.0,6.0,,,,5.0,7.0,7.0,6.0,7.0,6.0,,6.0,4.0,5.0,6.0,,,,,,,,6.0,,,,,,,,,,5.0,,6.0,6.0,615401
4.0,5.0,5.0,5.0,7.0,6.0,5.0,10.0,4.0,7.0,6.0,,7.0,,,7.0,,,,,5.0,4.0,6.0,4.0,5.0,,5.0,,4.0,9.0,,5.0,6.0,9.0,9.0,7.0,,7.0,5.0,4.0,7.0,7.0,8.0,4.0,703201
,,,,,,,,,,,,7.0,,,,,,,,,7.0,6.0,8.0,8.0,,,,7.0,7.0,,,6.0,9.0,9.0,8.0,,7.0,,,5.0,5.0,7.0,5.0,882101
7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,9.0,11.0,7.0,4.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,10.0,12.0,10.0,12.0,7.0,7.0,10.0,12.0,11.0,12.0,11.0,6.0,12.0,10.0,12.0,11.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,11.0,11.0,702502
9.0,9.0,8.0,5.0,5.0,8.0,,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,6.0,8.0,8.0,9.0,9.0,7.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,416202
5.0,5.0,5.0,7.0,,8.0,3.0,7.0,6.0,8.0,,8.0,7.0,8.0,7.0,7.0,,3.0,9.0,7.0,8.0,8.0,3.0,8.0,7.0,7.0,3.0,3.0,7.0,7.0,,5.0,7.0,8.0,8.0,,7.0,,9.0,4.0,4.0,9.0,9.0,9.0,420402
6.0,8.0,6.0,5.0,,6.0,,11.0,8.0,,,8.0,6.0,,5.0,10.0,,,9.0,9.0,8.0,,7.0,,5.0,,9.0,4.0,9.0,9.0,,6.0,12.0,8.0,7.0,5.0,7.0,6.0,10.0,5.0,8.0,9.0,9.0,7.0,842301
9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,221201
,4.0,6.0,6.0,4.0,6.0,6.0,9.0,6.0,,6.0,8.0,7.0,6.0,5.0,5.0,4.0,6.0,4.0,8.0,11.0,7.0,8.0,8.0,6.0,4.0,11.0,11.0,10.0,9.0,6.0,6.0,10.0,8.0,11.0,9.0,8.0,7.0,6.0,5.0,8.0,5.0,7.0,9.0,835201
4.0,7.0,7.0,5.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,4.0,6.0,4.0,6.0,8.0,8.0,5.0,8.0,11.0,9.0,5.0,6.0,9.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,6.0,5.0,5.0,5.0,9.0,7.0,153102
4.0,,5.0,,,,,5.0,,,,,4.0,5.0,5.0,,,,,,5.0,,,,,,,,5.0,,,,,,4.0,,,,,,6.0,4.0,4.0,4.0,561601
4.0,7.0,6.0,7.0,4.0,7.0,,,,,,7.0,6.0,7.0,7.0,7.0,4.0,3.0,7.0,6.0,7.0,7.0,4.0,,,,,,,,,,,,,,7.0,,,,,,3.0,,31401
8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,221201
8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,420402
10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,5.0,10.0,6.0,,,,5.0,8.0,,,,,,5.0,,25401
7.0,7.0,6.0,3.0,7.0,7.0,,7.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,5.0,7.0,9.0,7.0,9.0,10.0,7.0,7.0,8.0,7.0,10.0,10.0,9.0,3.0,7.0,10.0,10.0,10.0,10.0,9.0,7.0,9.0,10.0,9.0,7.0,10.0,9.0,623001
5.0,7.0,8.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,7.0,5.0,5.0,8.0,5.0,6.0,10.0,9.0,9.0,6.0,8.0,8.0,9.0,10.0,9.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,153102
4.0,7.0,12.0,10.0,7.0,5.0,7.0,4.0,,4.0,10.0,7.0,10.0,4.0,7.0,4.0,7.0,7.0,4.0,7.0,7.0,10.0,7.0,,,4.0,,,,,7.0,,,,,,7.0,,,,,7.0,7.0,8.0,31401
9.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0,8.0,6.0,9.0,6.0,9.0,9.0,8.0,7.0,7.0,8.0,6.0,10.0,11.0,6.0,7.0,9.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,8.0,7.0,9.0,7.0,221401
3.0,4.0,5.0,5.0,4.0,,,4.0,5.0,,4.0,5.0,4.0,,5.0,4.0,,,,5.0,5.0,5.0,,,3.0,,4.0,,,,,4.0,,,,,,,4.0,3.0,5.0,4.0,4.0,5.0,615701
9.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,301104
6.0,7.0,7.0,9.0,,4.0,,,5.0,,,4.0,5.0,7.0,7.0,5.0,,,,9.0,6.0,7.0,5.0,,5.0,,,,,,,7.0,,,,,,4.0,,3.0,,4.0,3.0,4.0,521201
6.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,7.0,6.0,8.0,6.0,8.0,7.0,6.0,7.0,9.0,7.0,7.0,7.0,6.0,9.0,9.0,8.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,8.0,6.0,6.0,8.0,5.0,4.0,8.0,7.0,140503
9.0,10.0,10.0,9.0,11.0,11.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,7.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,6.0,8.0,6.0,9.0,8.0,151201
12.0,12.0,12.0,12.0,9.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,9.0,9.0,10.0,7.0,8.0,7.0,7.0,301104
,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,7.0,9.0,7.0,7.0,,,9.0,5.0,9.0,5.0,5.0,,812301
6.0,8.0,9.0,7.0,5.0,6.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,9.0,7.0,7.0,6.0,,,6.0,6.0,6.0,6.0,6.0,5.0,,9.0,7.0,6.0,7.0,6.0,6.0,7.0,8.0,9.0,7.0,7.0,7.0,306502
7.0,9.0,9.0,11.0,7.0,7.0,10.0,5.0,11.0,9.0,7.0,7.0,10.0,7.0,11.0,11.0,9.0,7.0,10.0,8.0,5.0,8.0,11.0,7.0,4.0,5.0,,,,,9.0,4.0,,,,,,11.0,9.0,11.0,10.0,10.0,9.0,8.0,414701
4.0,8.0,7.0,6.0,6.0,7.0,7.0,6.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,7.0,8.0,7.0,4.0,6.0,6.0,7.0,5.0,5.0,6.0,7.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,6.0,7.0,6.0,8.0,4.0,4.0,5.0,4.0,,8.0,5.0,134401
9.0,10.0,10.0,11.0,9.0,9.0,,12.0,12.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,8.0,9.0,11.0,9.0,11.0,10.0,8.0,11.0,9.0,10.0,7.0,12.0,7.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,12.0,10.0,7.0,7.0,7.0,11.0,9.0,301104
10.0,9.0,9.0,9.0,7.0,10.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,,8.0,10.0,8.0,7.0,7.0,9.0,8.0,,8.0,,,,,,,,7.0,,,,,,,,,7.0,,6.0,8.0,8.0,416302
7.0,7.0,5.0,9.0,3.0,,,4.0,6.0,,,4.0,6.0,3.0,7.0,7.0,6.0,7.0,4.0,9.0,7.0,7.0,5.0,4.0,4.0,4.0,,,,,,7.0,4.0,,,,5.0,4.0,5.0,,3.0,6.0,5.0,4.0,521201
8.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,6.0,5.0,5.0,151201
9.0,11.0,11.0,9.0,7.0,9.0,10.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0,6.0,8.0,7.0,11.0,7.0,9.0,9.0,10.0,9.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,,4.0,4.0,,,4.0,4.0,,,6.0,4.0,4.0,4.0,211101
6.0,8.0,7.0,7.0,6.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,7.0,7.0,6.0,8.0,6.0,7.0,7.0,5.0,7.0,8.0,9.0,4.0,5.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,134401
7.0,7.0,7.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,6.0,9.0,10.0,9.0,8.0,6.0,9.0,10.0,9.0,8.0,10.0,10.0,6.0,8.0,6.0,6.0,8.0,9.0,8.0,8.0,10.0,6.0,8.0,8.0,7.0,6.0,8.0,5.0,6.0,8.0,6.0,6.0,8.0,8.0,134401
,9.0,5.0,7.0,7.0,7.0,6.0,6.0,11.0,7.0,7.0,6.0,7.0,,,,,,6.0,5.0,10.0,,,,4.0,,6.0,6.0,6.0,10.0,6.0,,7.0,6.0,12.0,12.0,,7.0,10.0,10.0,10.0,7.0,10.0,10.0,812102
9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,420201
4.0,8.0,6.0,6.0,4.0,4.0,,4.0,6.0,6.0,4.0,6.0,7.0,,5.0,7.0,,,6.0,6.0,6.0,6.0,6.0,,4.0,,4.0,,10.0,6.0,,6.0,6.0,8.0,,,9.0,9.0,9.0,6.0,6.0,9.0,9.0,6.0,702601
,,,,,,,,,,,,,,,,,5.0,,,,,,4.0,4.0,,,,,,,,,,,,,,,7.0,9.0,5.0,,,901301
4.0,7.0,7.0,7.0,,,,4.0,6.0,3.0,,,7.0,5.0,4.0,7.0,6.0,3.0,,5.0,7.0,5.0,7.0,4.0,5.0,,,,,,,,,,,,,,,,,4.0,5.0,5.0,615601
8.0,12.0,10.0,8.0,10.0,9.0,7.0,8.0,8.0,6.0,5.0,8.0,7.0,9.0,8.0,10.0,9.0,7.0,9.0,9.0,7.0,7.0,6.0,5.0,,,,4.0,,,12.0,5.0,7.0,4.0,3.0,,9.0,6.0,7.0,5.0,7.0,,9.0,6.0,25401
4.0,8.0,7.0,6.0,6.0,6.0,4.0,,7.0,,6.0,7.0,4.0,4.0,,6.0,8.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,4.0,8.0,7.0,7.0,5.0,,,5.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,26103
