,0,result
72,고등학교 입학 전까지는 생기부도 채워야 하니깐 진로를 확실하게 정해두고 싶은데 관심있는 분야생명공학 심리학 교육학가 모두 확연히 달라서 문제입니다,9
73,결정하는 방법이 있을까요2 저는 검사나 국선변호사를 희망하는데 부모님은 판사를 희망하세요,11
74,부모님의 가치관이 토론하는 것보다 판결하는 것을 더 좋아하셔서 의견이 좁혀지지 않습니다,11
75,어떻게 설득해야 하나요,5
76,3 제가 자사고를 희망해서 진로를 구체화시키고 싶은데 1학년 때는 법조인을 적었습니다,10
77,2학년 때 만약 검사를 적으면 3학년 때 더 어떻게 구체화 시킬 수 있나요 ex 의학의사응급의학과 의사감사합니다 ,9
78,안녕하세요 ,4
79,이제 고등학교 3학년이 되는 학생입니다고등학교 3학년이 되는 고2 마지막 방학이라 그런지 주변 친구들은 열심히 공부하는 것같아요,19
80,저도 겨울방학이 비교적 학기 중보다 시간도 많고 방학동안 취약한 과목을 열심히 공부하려고 독서실을 끊고 방학 첫 일주일은 정말 열심히 공부한것같아요 그러다가 혼자 공부하니 내가 하는게 맞나 싶고 왜 내가 공부를 해야할까 라는 생각도 들어요,18
81,내가 혼자 힘들게 공부해서 얻는게 뭘까 라는 의구심도 계속 들고 그러다가 이제 한달이라는 시간이 지냈는데 저는 이 한달 중에 첫 일주일을 빼면 독서실에 몇시간동안 앉아서 내가 공부를 해야하는 이유나 제 진로에 대해서 고민만 한것같아요,14
82,막상 진로를 정해도 제가 정말 하고싶은지 잘 모르겠어요,7
83,그래서 요즘에는 이런 고민들 때문에 아예 공부가 눈에 안들어와요 심한 날에는 그냥 집에 와서 자포자기식으로 자버리거나 게임을 해요,14
84,막상 게임을 할 때나 잠을 잘때면 기분이 별로 좋지않고 게임을 해도 재밌지않아요,8
85,그냥 게임을 하거나 자면 힘든일들이 생각나지 않아서 회피식으로 하는것같아요,0
86,남들이 볼 때는 그냥 핑계같지만 전 제가 무슨일을 할 때 왜 하는지 이해를 못하면 절대 안하는 성격인지라 그냥 막연히 공부하기가 너무 힘들어요,5
87,인강을 듣다가도 공부를 왜 할까공부 말고 다른길도 많을텐데 라는 생각이 계속 들어요,18
88,이런 생각을 계속 하는 제가 너무 바보같아요,11
89,당장 수능이 300일도 안남았는데 많이 부족한 내가 놀때가 아닌데 너무 집중이 안되요 많은 해결방안을 생각해봐도 뭐가 좋을 지 모르겠어요,14
90,그래서 윈터스쿨 학원을 가볼까 했지만 이미 마감이 됐을뿐더러 형편이 넉넉하지않아서 다니지 못하겠어요,0
91,무기력증이 아닌가싶지만 그냥 항상 공부는 하기 싫었던것같아요 살면서 한번도 남들을 부러워한적이 없지만 요즘에는 공부를 매일 열심히 하는 친구들이 너무 부럽네요제가 요즘 왜이러는 걸까요 공부는 왜 해야하나요 ,11
92,너무 두서없이 글을 작성했네요,0
93,긴 글 봐주셔서 감사합니다,6
94,주변 친구들이나 부모님께는 말씀드리기 좀 힘든상황이라 상담글 작성해봅니다 감사합니다,14
95,저는 옛날에는 하고 싶은것이 정말 많았는데 요즘은 가능성이 없어 보일것같단 생각때문에 그런건지 제가 무엇이 하고 싶은질 잘 모르겠어요,18
96,부모님은 저한테 빨리 꿈을찾아서 그쪽으로 쭉 연습해서 가는게 나중에 도움이 많이 된다고 하셨는데 꿈을 빨리 찾는게 쉽지가 않아요,18
97,그리고 제가 무엇을 잘하는지도 모르겠어요,15
98,운동도 공부도 잘하지 못해요 그 외에도 잘하는게 없는것같아서 자책감만 들어요,7
99,그리고 무엇을 하고싶은지도 잘 모르겠어요,15
100,저 한달안에 제가 하고싶은 꿈 무엇을 잘하는지 무엇이하고싶은지 꼭 찾고싶어요,7
101,안녕하세요,4
102,선생님 진로 선택과 관련된 고민이 있어서 상담신청드려요,1
103,저는 이제 1학년을 마치고 겨울방학을 보내고 있는 학생입니다,3
104,저는 늦어도 2학년 1학기가 끝나기 전에는 진로를 선택하겠다는 마음으로 방학이 시작했을 때부터 여러 진로를 찾아보고 있는데요,10
105,그 결과 몇 가지 후보들이 나오긴 했는데 후보들끼리 아무 연관도 없는 것 같고 커리어넷 테스트 해봐도 다들 비슷비슷하다고 나와서요 성적을 봐도 다들 점수가 비슷비슷하고 잘하는 과목은 처음에는 흥미가 있었는데 갈수록 질린다는 느낌을 받고 있어요,14
106,정말 후보들은 적성 흥미 모두 비슷한거 같은데 몇 안되는 후보들 중에서 선택을 어떻게 해야 잘 할 수 있을까요,18
107,진로를 정확히 무엇을 해야 할지 어떻게 해야할지 잘 모르겠어요,12
108,안녕하세요,4
109,저는 고등학교3학년이에요,3
110,이제 고등학교 3학년에 올라와서 처음 공부를 시작하게 되었는데 변호사가 되고 싶어요,10
111,근데 쟤가 선택한 과목은 생명과학1 지구과학1 인데 이과도 변호사를 할수있나요,2
112,이과로 변호사 되는법 알려주세요 ,2
114,안녕하세요 저는 올해 중1이 된 학생입니다,3
115,항상 주니어 커리어넷을 이용하다가 처음으로 중학생용 상담도 신청 해보네요 ,0
116,내용이 조금 긴데,6
117,잘 읽어주세요,13
118,저의 처음 장래희망은 선생님 이였어요,2
119,그때는 고작 1학년때 학부모 공개수업 시간에 발표하라 해서 무작정 정해버린 직업이었어요,9
120,그런 꿈이였다 보니 빨리 바뀌었죠,14
121,2학년 때는 수의사 였어요,3
122,저는 어릴때부터 동물을 키우며 자랐고 동물을 매우매우 좋아했기 때문에 수의사 라는 직업을 알고 아 이게 내 꿈이다,2
123,생각했죠,12
124,동물들과 함께하는 직업이라고만 생각했으니까요,15
125,그런데 생각할수록 텔레비전에 나오는 수의사라는 직업은 무서운 직업 같았어요,18
126,아픈 동물들을 치료하려면 고통스러워 하는 모습을 봐야 한다는 당연한 것을 넘겨버렸던 것이죠,0
127,그 후 저희 장래희망은 판사가 되었습니다,2
128,3학년 중 지금까지 제 장래희망은 판사였어요,3
129,처음 커리어넷을 이용하고 검사를 받았을때 추천직업에도 판사가 있었고 저의 유형은 sc유형이었어요 판사가 하는일에 대해 더 알아갈수록 꼭 맞는 직업을 찾은 기분이었지요,13
130,제 생각에도 저는 문과인것 같아요,17
131,이제는 통합이고 문과가 좀 안좋은 추세라는 것이 마음에 걸리기는 하나 이 꿈을 포기하고 싶지는 않아요 선생님이셨던 할머니 학원 대표님 친구도 문과라는 이야기를 듣고 판사말고 의사하는건 어떠냐 아 그래 라는 떨떠름한 반응을 보였거든요 아무튼 판사가 되려면 더 열심히 공부를 해야 하잖아요,8
132,토익토플 점수도 높아야 하고 그래서 저는 아주 열심히 공부를 하겠다는 마음을 가지고 정말 노력하기 시작했어요,5
133,아침에 틈틈히 줌 독서실에 들어가 5시부터 공부 학원 끝나고도 자습 그리고 저를 위한 휴식시간과 취미생활도 틈틈히 가지며 건강한 공부습관을 가졌죠,6
134,공부가 지겹거나 힘들지 않았어요,13
135,그런데 요즘 제가 정말 즐겁게 공부를 하나,13
136,의문감도 들기 시작했어요,11
137,제가 진도를 나간 내용으로 수학 시험을 본 적이 있어요,14
138,그런데 성적이 곤두박질 친 것이죠,16
139,평균보다 현저히 낮게 나왔었어요,6
140,너무 충격을 받아서 아 뭐가 잘못된거지  뭐 그래도 내가 더 열심히 하면 되겠지 하고 다음 시험을 기다렸어요 그 당시 시험은 주 12회 정도 보았어요 그런데 다음 시험 성적표를 받고 머리를 한대 맞은 기분이었어요,8
141,별로 나아진것이 없었거든요,14
142,그만큼 더 노력을 덜했나,6
143,이를 악물고 시험 전날까지 완전 빡세게 공부를 했어요,0
144,그 다음 시험에서도 만족할만한 점수는 나오지 않았고 저는 너무 우울했어요 아직 실전 시험이 아니고 시험은 중2때부터 보니까 시간은 남았어,2
145,괜찮아,14
146,결과는 노력을 배신하지 않으니까 너무 걱정마,8
147,넌 충분히 잘하고 있어 라고 엄마한테 위로를 받는데도 눈물은 자꾸자꾸 나왔어요,0
148,몇주뒤 다른 부분의 시험을 봤는데 점수가 잘 나온 거에요,14
149,그때 알았어요,1
150,제가 약한 부위가 있다는 것을요 그리고 나서는 그냥저냥 원래대로 공부를 하고 있는데 성적이 잘 안나올때마다 너무 무서워요,0
151,이러다가 망하는거 아닌가,6
152,생각은한도끝도 없이 나아가 수능까지 갑니다,13
153,막상 시험을 치면 잘 보구요,14
154,제가 국어 영어는 그래도 이해가 빠르고 잘 하는 편인것 같은데 수학 과학이 어려운것 같아요,8
155,혹시 성적 관리는 어떻게 잘 할수 있을까요,7
156,시간을 효율적으로 사용할수 있는 방법은 없을까요,11
157,그리고 제가 암기를 너무 싫어하고 못해서,11
158,암기를 최소화하고 시험을 잘 보거나 외울수 있는 방법 있나요,14
159,공부 내용을 이해하는 것 만으로는공식 제외 시험을 잘 볼수는 없는 것일까요,8
160,추가로 제 관심 직업에 심리상담 전문가가 떠올랐어요,6
161,오은영 박사님 같은 심리상담 전문가는 구체적으로 어떤 일을 하고 되기 위해서는 무엇을 해야 하나요,11
162,판사라는 직업은 앞으로 전망이 괜찮을까요,13
163,긴 글 읽어주셔서 감사합니다 질문이 모호할지도 모르겠지만 잘 답변 부탁드려요,6
164,평소 활동적인 것을 좋아하고 놀러다니고 돌아다는 것을 좋아하는 고등학생입니다,2
165,제가 지하철을 타거나 여기저기 돌아다니고 여행다니는 것을 좋아해서 운전직 공무원 역무원 경찰 등을 진로로 생각해왔는데요,6
166,혹시 다른 직업도 있을까요,1
167,작년에 제 진로가 영상편집자 혹은 pd였는데 올해 제 꿈이 배우로 바뀌었어요,9
168,근데 혹시 영상과 배우 동시에 관련이 있는 학과가 없을까 궁금해져서 이 글을 적습니다,14
169,혹시 있다면 알려주세요,1
170,안녕하세요,4
171,예비 고3입니다,3
172,최근 동물 사육사라는 직업에 매력을 느껴 그 쪽으로 대학과 학과를 조사하던 중 실습이나 시설이 잘 갖추어진 곳으로 가는게 좋다는 말을 듣게 되어 전문대 쪽으로 생각하고 있는데요,13
173,실습 중심으로 보면 전문대가 더 좋겠지만 일반대도 실습을 어느정도 하고 있고 전문대 보다 재학하는 기간이 많으니 배움의 깊이 차이가 나지 않을까,0
174,혹은 이론을 배운다 해도 정말 필요한 이론인지 등에대한 생각이 들어 고민하고 있습니다,13
175,동물 사육사란 직업을 갖기 위해선 어떤 부분을 중점적으로 배워야하는지 대학은 어느 학교든 크게 차이가 없는지에 관해 여쭤보고 싶습니다,14
176,안녕하세요,4
177,제가 해사고등학교마이스터고를 희망하는데 최근 일본대학을 가고 싶습니다,8
178,eju나 추천입학등으로 가고 싶은데마이스터고는 대학을 가는게 안된다고 들었습니다,13
179,마이스터고 졸업후 일본유학을 갈수 있나요,16
180,아니면 무슨 방법이 있나요,13
181,현재 이과 과중반에 있는데 작곡과로 가고 싶으면 여기서 계속 공부해도 되는건지 입시 요강을 어떻게 알수 있을까요,8
182,원래 광고홍보학과나 미디어계열의 학과를 목표로 학교생활을 하고 있었는데요 몇 달 전부터 응급구조사라는 직업에 관심이 가기 시작했어요,8
183,이게 단순하게 하고싶다는 마음이 아니라 그 직업을 가진 사람들을 보면 와 겁나 멋있다이런 생각을 하면서 막 심장이 빨리 뛰는 것 같은 느낌도 들고요,8
184,그런데 막상 광고기획자의 꿈을 버리자니,6
185,이때까지의 노력들이 너무 아까운거 있죠,6
186,이제 3학년에 올라가는 상황이라 응급구조학과에 가려면 세특도 어느정도 그쪽으로 적어놔야하고 그런데 너무 갑작스럽게 바꾸는 느낌이 들어서 대학교에서 저를 뽑아줄까 고민도 되구요,2
187,혹시나 응급구조학과로 갔는데 갑자기 마음이 식어버리면 갈 수 있는 직업군이 없어지는 것 같아 좀 두려운 마음도 있는 것이 사실이에요,14
188,어느 학과를 가는게 더 이득이 될까요,17
189,제 장점을 모르겠어요,13
190,제가 강렬하게 무언가를 좋아하지도 않고 공부를 잘하지도 않아요,18
191,단점과 성격은 알고 있는데 정작 내가 잘하는 것과 좋아하는 것 이라고 머리에 기입하면 아무리 기다려도 나오는 답이 없네요,8
192,자극추구성 때문에 새로은 무언가를 계속 좋아하지만 그 열정은 얼마 못가고 식는데요,14
193,그나마 생각하고 있는 학과는 컴공입니다,17
194,아버지가 it계열이시고 선생님도 코딩센스 같은게 있다고 하시고 저도 관심이 있구요,0
195,문제는 이걸 제가 좋아하냐고 제 자신한테 물어보면 돌아오는 답이 없습니다,14
196,이제 고등학교를 들어가니 너무 대충 결정한 것이 아닌가 라는 생각이 있고요 어떻하면 좋죠,17
197,안녕하세요,4
198,저는 사육사가 되고 싶은 2005년생 민지에요 저는 얼마전까지 아이돌 이라는 고민을 해서 많이 힘들긴했죠,8
199,또 고민인게 작년 12월 31일에 아이돌 페스티벌 같은것을 신청했는데 1월 20일에 하는것인데 제가 7만원을 냈어요,0
200,그 시기를 놓쳐서 아직 환불을 못 받았어요,14
201,그리고 제가 올해는 고등학교 2학년이 되는데 사육사의 대한 고민이 또 생겨서 걱정이네요,19
202,제가 만약 고등학교 졸업을 하게 된다면 서울에 있는 서울호서전문학교 에 취업을 하고 싶은 마음이 들었어요,11
203,읽어주셔서 감사합니다,6
205,저는 이제 중학생이 돼는데 꿈이 너무 많아서 뭘 해야 할지 모르겠어요,7
206,선생님작가아쿠아리스트가수만화가 등등 더 많은데 어떡할까요,6
207,그리고 내가 할 수 있을까 걱정도 돼고요,7
208,안녕하세요 이제 고 2 올라가는 학생입니다,3
209,전 어렸을 때부터 그림그리기를 좋아해서 꾸준히 낙서라도 하며 주변에서도 칭찬이 많을 정도로 실력도 나쁘지 않습니다,0
210,근데 부모님의 반대로 결국 제 두번째 관심사인 동물과 관련된 수의사라는 진로를 생각하며 중학생 시절을 보냈습니다,8
211,고등학교에 진학해서도 초반까지는 수의사 진로를 생각하고 있었는데요 만화 애니메이션 배우는 학원을 다닌다던 친구가 있어서 저도 그쪽 분야를 좋아하니 부모님한텐 취미로 다니고 싶다 말씀드리니 학원을 보내주셨고 몇 주 발 담궜더니 약간 미련 남더라고요,14
212,또 좀 하는 고등학교에 들어오니 제가 여태껏 맞아왔던 점수와는 너무 다르게 처참하고 고등학교 생활도 너무 힘들었고 그때 든 생각이 내가 주변에서 잘한다는 소리 들어오던 그림 캐릭터 그리기 관련된 직업을 선택해야겠다고 생각했어요,8
213,만화 애니메이션 과 선택하기 전에도 수의사 직업을 조사해보니 제가 비위도 약하고 생물이 죽는 걸 보는게 무서우니 이 직업이 딱이겠다 생각을 하고 부모님한테 말씀드렸어요,8
214,처음엔 반대 하셨다가 어떻게 설득해서 지금도 만화애니입시 관련된 학원을 다니고 있는데요,11
215,근데 전 시골 살고 학원은 시외버스 타고 1시간 정도 가야되는 먼 곳에 있었는데 초반에 다닐땐 학원비 교통비 생각 안하고 그냥 막 갔어요,9
216,근데 현재까지 쭉 다니다 보니 예체능이니까 기본 학원비에 특강비 왕복 교통비용 식비까지 돈이 너무 많이 들더라고요,6
217,부모님도 돈 부담스러워 하시는게 보이고 응원은 하시는데 여전히 미술보다는 다른쪽을 더 원하시고 학원 다니는 동안 정말 다닌게 후회가 되진 않을정도로 재밌었어요,8
218,선생님도 칭찬 자주 해주시고 근데 이게 장기적으로 가니 돈이 많이 들어서 부모님한테 죄송하고 저도 몇주 후면 텅 비는 제 지갑에 많이 짜증나요,14
219,근데 미술 배우는건 정말 재밌고 잘한다 소리 들으니까 남들한테 지지 않고 싶다는 생각이 들어서 끊고 싶지는 않거든요,8
220,만화 애니메이션과 가서 제 작품 하나 만들어 보고 싶단 생각도 있고 근데 돈이 너무 많이 깨지고 제가 성적이 그리 높지 않은데 미술로 인해 시간 뺏기는 부분이 있으니까 성적을 더 올려야 하는데 그 준비를 못하고 있는것 같아서 불안하기도 하고 또 부모님도 연세가 꽤 있으시고 다들 지병도 있으셔서 엄마가 원하는 대학가게 더 열심히 공부해서 다른 과나 들어갈까,8
221,란 생각도 하고있고요,15
222,저도 제가 원하는 학과 가는 것도 좋지만 그냥 좋은 대학간판 얻고 싶기도 하고 그래서요 정리해 보자면 전 미술 배우는게 좋고 더 잘 그리고 싶어서 학원을 되도록이면 그만두고 싶지 않지만 돈이 너무 많이 들어서 저도 이부분에서는 좀 짜증이 나고 이럴 바엔 차라리 좋은 대학을 가고싶긴 하니까 과감히 끊고 공부에 더 몰두하던지,18
223,란 고민입니다,19
224,어떻게 하면 좋을까요,15
225,적성검사에 따르면 1 경영 분야전문직2 사무직 이런순서로 나와있는데 제가 원하는 직업은 항공우주공학과여서요 좀 거리가 멀다고 느껴지는데 실제로도 우주나 과학에 관련해서 관심이 있고 좋게 느껴지는데 이 직업이 제일 관심이 있고 두번째로 사무직경영분야여서요,14
226,고민됩니다,17
227,어느관련을 우선으로  목표로 해야되는지 궁금합니다,7
228,안녕하세요,4
229,올해 예비고1 입니다,3
230,요즘 진로에 대해 고민이 많아져 상담을 신청합니다,18
231,제 꿈은 외과의사 또는 초등교사 입니다,2
232,두 꿈이 서로 너무 달라서 고민입니다,2
233,외과의사는 이과를 준비해야 하고 초등교사는 문과를 준비해야 합니다,5
234,그래서 둘 중 무엇을 선택해야 할지 잘 모르겠습니다,15
235,저는 주위에서 초등교사가 잘 어울린다는 이야기를 많이 듣습니다,6
236,그런데 이상하게 초등교사만 하고 살기에는 뭔가 자꾸 아쉬움이 남습니다,6
237,그리고 초등교사의 보수도 조금 아쉬운거 같기도 합니다,0
238,의사는 정말 힘든길이라는거 잘 알고 있습니다,17
239,그래서 섵불리 결정할 수가 없습니다,0
240,그리고 저는 수학과는 조금 맞지 않습니다,17
241,그래서 어쩌면 더 힘든길이 될 수도 있습니다,14
242,제가 의사가 되고 싶은 이유가 정말 제가 사람을 살리고 도움을 드리고 싶어서 인지 아니면 단순히 의학드라마를 보고 멋있다고 생각하며 큰 감명을 받아서 인지 헷갈립니다,14
243,지금은 초등교사가 장래희망이라고 이야기하고는 있지만 계속 고민하고 있습니다,14
244,둘 줄 제가 진짜 하고 싶은건 뭘까요,11
245,그걸 어떻게 알아내야 할까요,11
246,조언부탁드려요,16
247,최근 저의 관심사는 마약 입니다,9
248,책으로 마약에 대해 자세히 알았을 때 흥미를 가지게 되었습니다,13
249,그래서 개량종 양귀비도 사서 길러 보기도 했습니다,0
250,원래 제 장래희망은 교사 였습니다,19
251,그런데 마약이라는 주제가 무척이나 흥미로워서 관련된 직업을 찾아보았으나 자세히 나오진 않더군요,14
252,저는 마약을 연구해 보고 싶습니다,11
253,마약은 무슨 기준으로 나뉘어서 어떠한 종류가 있고 어떤 해를 끼치는지 궁금합니다,6
254,또한 교사라는 직업도 교육 이라는 점이 마음에 들어 선택한 직업 이었습니다,17
