,0,1,index,result,dbs1,result2,dbs2,result3,dbs3,result4,dbs4,result5,dbs5,result6,dbs6,result7,dbs7,result8,dbs8,result9,dbs9,result10,dbs10
150,이러다가 망하는거 아닌가,"['망하다', '아니다']",151,0,0,-1,0,-1,0,31,31,,,,,,,,,,,,
166,작년에 제 진로가 영상편집자 혹은 pd였는데 올해 제 꿈이 배우로 바뀌었어요,"['작년', '진로', '영상편집자', '이다', '올해', '꿈', '배우', '바뀌다']",167,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,20,20
168,혹시 있다면 알려주세요,['알다'],169,0,0,2,2,,,,,,,,,,,,,,,,
169,안녕하세요,['안녕하다'],170,1,1,,,,,,,,,,,,,,,,,,
170,예비 고3입니다,"['예비', '고', '이다']",171,0,0,-1,0,1,1,,,,,,,,,,,,,,
173,혹은 이론을 배운다 해도 정말 필요한 이론인지 등에대한 생각이 들어 고민하고 있습니다,"['이론', '배우다', '해도', '정말', '필요하다', '이론', '대한', '생각', '들다', '고민']",174,0,0,-1,0,-1,0,0,0,-1,0,49,49,,,,,,,,
174,동물 사육사란 직업을 갖기 위해선 어떤 부분을 중점적으로 배워야하는지 대학은 어느 학교든 크게 차이가 없는지에 관해 여쭤보고 싶습니다,"['동물', '사육사', '란', '직업', '갖다', '위해', '선', '어떻다', '부분', '중점', '배우다', '대학', '학교', '크게', '차이', '없다', '관해', '여쭈다', '보고', '싶다']",175,0,0,-1,0,-1,0,0,0,-1,0,15,15,,,,,,,,
175,안녕하세요,['안녕하다'],176,1,1,,,,,,,,,,,,,,,,,,
177,eju나 추천입학등으로 가고 싶은데마이스터고는 대학을 가는게 안된다고 들었습니다,"['추천', '입학', '가다', '싶다', '마이스터고', '대학', '가다', '안되다', '들다']",178,0,0,-1,0,-1,0,0,0,-1,0,3,3,,,,,,,,
182,이게 단순하게 하고싶다는 마음이 아니라 그 직업을 가진 사람들을 보면 와 겁나 멋있다이런 생각을 하면서 막 심장이 빨리 뛰는 것 같은 느낌도 들고요,"['단순하다', '하다', '마음', '아니다', '직업', '가지다', '사람', '보다', '오다', '겁나다', '멋있다', '이렇다', '생각', '하다', '막', '심장', '뛰다', '느낌', '들다']",183,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,
185,이제 3학년에 올라가는 상황이라 응급구조학과에 가려면 세특도 어느정도 그쪽으로 적어놔야하고 그런데 너무 갑작스럽게 바꾸는 느낌이 들어서 대학교에서 저를 뽑아줄까 고민도 되구요,"['이제', '학년', '올라가다', '상황', '응급', '구조', '학과', '가다', '세특', '정도', '쪽', '적다', '놓다', '갑작스럽다', '바꾸다', '느낌', '들어서다', '대학교', '뽑다', '고민', '되다']",186,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,12,12
187,어느 학과를 가는게 더 이득이 될까요,"['학과', '가다', '더', '이득', '되다', '요']",188,0,0,-1,0,-1,0,0,0,-1,0,40,40,,,,,,,,
188,제 장점을 모르겠어요,"['장점', '모르다']",189,0,0,-1,0,-1,0,5,5,,,,,,,,,,,,
196,안녕하세요,['안녕하다'],197,1,1,,,,,,,,,,,,,,,,,,
200,그리고 제가 올해는 고등학교 2학년이 되는데 사육사의 대한 고민이 또 생겨서 걱정이네요,"['올해', '고등학교', '학년', '되다', '사육사', '대한', '고민', '생기다', '걱정', '요']",201,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,8,8
202,읽어주셔서 감사합니다,"['읽다', '감사하다']",203,3,2,,,,,,,,,,,,,,,,,,
206,안녕하세요 이제 고 2 올라가는 학생입니다,"['안녕하다', '이제', '고', '올라가다', '학생', '이다']",208,0,0,-1,0,1,1,,,,,,,,,,,,,,
213,근데 전 시골 살고 학원은 시외버스 타고 1시간 정도 가야되는 먼 곳에 있었는데 초반에 다닐땐 학원비 교통비 생각 안하고 그냥 막 갔어요,"['전', '시골', '살', '학원', '시외버스', '타고', '정도', '가야', '되다', '멀다', '곳', '초반', '다니다', '땐', '학원', '비', '교통비', '생각', '안', '그냥', '막', '가다']",215,0,0,-1,0,-1,0,7,7,,,,,,,,,,,,
221,란 고민입니다,"['란', '고민', '이다']",223,0,0,4,3,,,,,,,,,,,,,,,,
222,어떻게 하면 좋을까요,"['어떻다', '하다', '좋다']",224,0,0,5,4,,,,,,,,,,,,,,,,
224,고민됩니다,"['고민', '되다']",226,0,0,6,3,,,,,,,,,,,,,,,,
226,안녕하세요,['안녕하다'],228,1,1,,,,,,,,,,,,,,,,,,
227,올해 예비고1 입니다,"['올해', '예비', '이다']",229,0,0,-1,0,1,1,,,,,,,,,,,,,,
228,요즘 진로에 대해 고민이 많아져 상담을 신청합니다,"['요즘', '진로', '대해', '고민', '많아지다', '상담', '신청', '하다']",230,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,11,11
230,두 꿈이 서로 너무 달라서 고민입니다,"['두', '꿈', '서로', '달라', '고민', '이다']",232,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,38,38,,
239,그래서 어쩌면 더 힘든길이 될 수도 있습니다,"['어쩌면', '더', '힘드다', '길이', '되다', '수도']",241,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,16,16,,
240,제가 의사가 되고 싶은 이유가 정말 제가 사람을 살리고 도움을 드리고 싶어서 인지 아니면 단순히 의학드라마를 보고 멋있다고 생각하며 큰 감명을 받아서 인지 헷갈립니다,"['의사', '되다', '싶다', '이유', '정말', '사람', '살리다', '도움', '드리다', '싶다', '인지', '아니다', '단순하다', '의학', '드라마', '보고', '멋있다', '생각', '하다', '크다', '감명', '받다', '인지', '헷갈리다']",242,0,0,-1,0,0,0,0,0,0,0,0,0,10,10,,,,,,
244,조언부탁드려요,"['조언', '부탁드리다']",246,4,3,,,,,,,,,,,,,,,,,,
247,그래서 개량종 양귀비도 사서 길러 보기도 했습니다,"['개량', '종', '양귀비', '사서', '기르다', '보기', '하다']",249,0,0,-1,0,0,0,0,0,0,0,0,0,5,5,,,,,,
249,그런데 마약이라는 주제가 무척이나 흥미로워서 관련된 직업을 찾아보았으나 자세히 나오진 않더군요,"['마약', '주제가', '무척', '흥미롭다', '관련', '되다', '직업', '찾아보다', '자세하다', '나오다', '않다']",251,0,0,-1,0,-1,0,0,0,-1,0,23,23,,,,,,,,
256,안녕하세요,['안녕하다'],258,1,1,,,,,,,,,,,,,,,,,,
260,그런데 학교에서 진로상담을 했는데 제 성격과 성향이 다양하고 많은 사람을 만나는 것에 스트레스 받는다는 것을 알게되었습니다,"['학교', '진로', '상담', '하다', '성격', '성향', '다양하다', '많다', '사람', '만나다', '스트레스', '받다', '알', '되어다']",262,0,0,-1,0,16,16,,,,,,,,,,,,,,
263,그런데 또 한편으로는 사람들과는 잘 어울리기는 편이기 때문에 괜찮지 않을까 라는 생각도 들었습니다,"['한편', '사람', '자다', '어울리다', '기다', '편', '이기', '때문', '괜찮다', '않다', '생각', '들다']",265,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,17,17,,
269,저는 어떻게 해야할까요,"['어떻다', '하다', '하다', '요']",271,0,0,7,4,,,,,,,,,,,,,,,,
272,안녕하세요,['안녕하다'],274,1,1,,,,,,,,,,,,,,,,,,
273,진로를 찾고 있는 예비고1 입니다,"['진로', '찾다', '예비', '이다']",275,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,34,34,,
275,일단 제가 관심가지고 있는 분야는 토론이예요 ,"['관심', '가지', '분야', '토론']",277,0,0,-1,0,-1,0,3,3,,,,,,,,,,,,
277,이런 쪽에 직업을 알아보 싶은데 ,"['이렇다', '쪽', '직업', '알아보다', '싶다']",279,0,0,-1,0,-1,0,0,0,-1,0,4,4,,,,,,,,
290,이번 2023수능을 보게 된 예비고3으로서 방학동안 명확하게 정하고 싶어서 상담글을 올립니다,"['수능', '보다', '되다', '예비', '방학', '명확하다', '정', '싶다', '상담', '글', '올리다']",292,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,9,9
291,안녕하세요,['안녕하다'],293,1,1,,,,,,,,,,,,,,,,,,
292,이제 곧 고등학교에 입학할 학생입니다,"['이제', '고등학교', '입학', '하다', '학생', '이다']",294,0,0,-1,0,3,3,,,,,,,,,,,,,,
300,제가 찾아보니 의류학과가 비실기로 갈 수 있다는데 어떻게 갈 수 있나요,"['찾아보다', '의류', '학과', '비다', '갈다', '수', '어떻다', '갈다', '수']",302,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,3,3,,
301,3D 모델러 와 관련된 직업과 어떤쪽을 공부하면 좋은지 알고 싶어요,"['모델', '러', '오다', '관련', '되다', '직업', '쪽', '공부', '하다', '좋다', '알', '싶다']",303,0,0,-1,0,0,0,0,0,1,1,,,,,,,,,,
313,안녕하세요,['안녕하다'],315,1,1,,,,,,,,,,,,,,,,,,
314,저는 이제 예비 고3이 되는 학생입니다,"['이제', '예비', '고', '되다', '학생', '이다']",316,0,0,41,5,,,,,,,,,,,,,,,,
319,미래 나의 진로에 대해 고민이다,"['미래', '진로', '대해', '고민']",321,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,4,4,,
325,아니라면 문과에서 이과로 교차지원 한 것이기 때문에 사회과목만을 가지고 평가하나요 3 12학년때 학교공부를 소홀히해 전체 내신 평균이 37이고 강원대를 목표로 하고있는데성적은 3학년때 더 올릴예정 3점대 중반까지 맞추면 지원시 안정권인가요 ,"['아니다', '문과', '이과', '교차', '지원', '하다', '이기', '때문', '사회', '과목', '가지', '평가', '하나요', '학년', '학교', '공부', '소홀하다', '전체', '내신', '평균', '강원', '목표', '하다', '성적', '학년', '더', '올리다', '예정', '점', '중반', '맞추다', '원시', '안정']",327,0,0,-1,0,23,23,,,,,,,,,,,,,,
326,안녕하세요,['안녕하다'],328,1,1,,,,,,,,,,,,,,,,,,
329,사촌 누나 형들은 지방대라도 합격해서 부러워요,"['사촌', '누나', '형', '지방', '합격', '하다', '부럽다']",331,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,24,24,,
331,근데 저는 몇몇 애들과는 다르게 고1때 내신성적을 56 등급 때로 받았고요기술가정은 8고2가 되서도 학원문제와 공부방법을 제대로 안 익혀서 56등급 때에서 벗어나질 못했습니다,"['몇몇', '애', '다르다', '고', '성적', '등급', '받다', '기술', '가정은', '고', '가다', '되다', '학원', '문제', '공부', '방법', '제대로', '안', '익히다', '벗어나다', '하다']",333,0,0,-1,0,44,44,,,,,,,,,,,,,,
339,근데 고1때는 한국사역사 관련된 공동교육과정 수업을 듣고 모둠원과 협동해서 책을 제작하는 활동도 했지만 지금 생각하는 학과와 연관은 별로 없어서 약간 걱정 중이기도 해요전 제가 아는 지식 배웠던 지식으로 남들에게 알려주는 걸 좋아합니다,"['고', '한국사', '역사', '관련', '되다', '공동', '교육과정', '수업', '듣다', '두다', '원', '협동', '하다', '책', '제작', '하다', '활동', '하다', '지금', '생각', '하다', '학과', '연관', '별로', '없다', '걱정', '중', '해', '요전', '알다', '지식', '배우다', '지식', '남', '알다', '걸', '좋아하다']",341,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,6,,,,
350,현재 고등학교 입학을 기다리는 예비 고1입니다,"['현재', '고등학교', '입학', '기다리다', '예비', '고', '이다']",352,0,0,-1,0,-1,0,1,1,,,,,,,,,,,,
352,미술방송전시 같은 예술쪽에 관심이 많습니다,"['미술', '방송', '전시', '예술', '쪽', '관심', '많다']",354,0,0,-1,0,-1,0,3,3,,,,,,,,,,,,
354,공부를 열심히해서 제가 좋아하는 분야에서 일하고 싶은데공부로 접근할 수 있는 직업이 뭐가 있을까요,"['공부', '하다', '좋아하다', '분야', '싶다', '공부', '접근', '하다', '수', '직업', '뭐']",356,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,
360,동기가 없어요,"['동기', '없다']",362,0,0,-1,0,4,4,,,,,,,,,,,,,,
366,일단 먼저 직업부터 찾아보고싶어요,"['먼저', '직업', '찾아보다']",368,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,15,15
369,사실 제가 지금 생각하는 제가 가장 좋아하는 일은 네일아트라서 네일아트를 전문적으로 배워 직업으로 삼고 싶은 마음이 있어요,"['사실', '지금', '생각', '하다', '가장', '좋아하다', '네일아트', '네일아트', '전문', '배우다', '직업', '삼고', '싶다', '마음']",371,0,0,-1,0,0,0,0,0,0,0,0,0,7,7,,,,,,
376,그래서 변호사를 장래희망에 적었었는데 지금은 잘 모르겠어요,"['변호사', '장래희망', '적다', '지금', '자다', '모르다']",378,0,0,-1,0,-1,0,5,5,,,,,,,,,,,,
395,안녕하세요,['안녕하다'],397,1,1,,,,,,,,,,,,,,,,,,
396,저는 평범한 중학생입니다,"['평범하다', '중학생', '이다']",398,0,0,-1,0,1,1,,,,,,,,,,,,,,
400,어떤 직업이 좋을까요,"['어떻다', '직업', '좋다']",402,0,0,-1,0,15,15,,,,,,,,,,,,,,
401,안녕하세요,['안녕하다'],403,1,1,,,,,,,,,,,,,,,,,,
402,저는 현재 고등학교 2학년 입니다,"['현재', '고등학교', '학년', '이다']",404,0,0,8,5,,,,,,,,,,,,,,,,
404,저를 제외한 대부분의 친구들이 명확한 진로는 아니더라도 대략적으로는 길을 만들었더라고요,"['제외', '대부분', '친구', '명확하다', '진로', '아니다', '대략', '길', '만들다']",406,0,0,-1,0,-1,0,37,37,,,,,,,,,,,,
408,그나마 수학을 좋아하긴 하지만 수학 교육과 같은곳은 설명을 들어보니 저와 맞지 않고 그렇다고 수학과를 가자니 성적이 높아여 갈 수 있는거 아니야 그거 밥 못벌어먹는과 아니야,"['수학', '좋아하다', '수학', '교육', '곳', '설명', '들다', '보다', '맞다', '않다', '수학', '가다', '성적', '높다', '갈다', '수', '아니다', '그거', '밥', '벌다', '먹다', '아니다']",410,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,50,50,,
413,라는 말을 들으니 더 미치겠더군요,"['말', '들다', '더', '미치다']",415,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,1
414,남들은 다 자기들 길을 따라 가는데 저는 딱히 하고싶은 일도 없고 그렇다고 공부를 열심히 하는것도 아니고 그냥 인생을 흐르는대로 막 사는건가 싶고 제가 뭘 어떻게 해야할지 모르겠어요,"['남', '길', '따르다', '가다', '딱하다', '하다', '일도', '없다', '공부', '하다', '아니다', '그냥', '인생', '흐르다', '막', '살다', '건가', '싶다', '뭘', '어떻다', '하다', '하다', '모르다']",416,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,
417,제발 도와주세요,"['제발', '도와주다']",419,5,4,,,,,,,,,,,,,,,,,,
419,제발 더이상 물어볼곳이 없어요,"['제발', '더', '물어보다', '곳', '없다']",421,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,1,1,,
420,이제 중3이 되는 중2 입니다,"['이제', '중', '되다', '중', '이다']",422,0,0,-1,0,2,2,,,,,,,,,,,,,,
422,저는 수시 특히 학종 쪽으로 대학을 가고 싶은데요,"['수시', '학종', '쪽', '대학', '가다', '싶다']",424,0,0,-1,0,-1,0,0,0,-1,0,17,17,,,,,,,,
423,사실 전 다른 지역에 있는 조금 쎈 일반고를 가고 싶었는데 내신을 따기 힘들 것 같아서 저희 지역 일반고를 가려고 생각을 바꿨어요,"['사실', '전', '지역', '쎄다', '반고', '가다', '싶다', '내신', '따다', '힘들다', '지역', '반고', '가다', '생각', '바꾸다']",425,0,0,-1,0,-1,0,0,0,-1,0,45,45,,,,,,,,
425,1번 고등학교는 오산에서 꽤 공부하고 싶어하는 학생들이 모이는 학교로 들었습니다,"['번', '고등학교', '오산', '꽤', '공부', '싶다', '학생', '모이다', '학교', '들다']",427,0,0,-1,0,-1,0,2,2,,,,,,,,,,,,
428,일부로 내신 잘 딸려고 지역 일반고를 가는 건데 이렇게 되면 아무 의미가 없게 되는게 아닐까란 생각이 들더라고요2번 고등학교 입니다,"['일부', '내신', '자다', '딸리다', '지역', '반고', '가다', '되다', '아무', '의미', '없다', '되다', '아니다', '란', '생각', '들다', '번', '고등학교', '이다']",430,0,0,-1,0,-1,0,0,0,-1,0,8,8,,,,,,,,
433,근데 제가 친구들 따라 가는 편이 좀 있어요,"['친구', '따르다', '가다', '편이']",435,0,0,-1,0,-1,0,7,7,,,,,,,,,,,,
435,저도 좀 놀러다니거나 학교에서 제대로 공부를 못 할 수 있다는 거죠,"['놀다', '다니다', '학교', '제대로', '공부', '못', '하다', '수', '거']",437,0,0,-1,0,0,0,0,0,-1,0,0,0,21,21,,,,,,
438,3번째 마지막 고등학교 입니다,"['마지막', '고등학교', '이다']",440,0,0,-1,0,1,1,,,,,,,,,,,,,,
439,이 곳은 요즘 시험 난이도가 오르고 있다는 소문이 있던데 그래도 공부 못하고 분위기 안 좋다,"['곳', '요즘', '시험', '난이도', '소문', '공부', '못', '분위기', '안', '좋다']",441,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,5,5,,
440,라는 말이 도는 학교 입니다,"['말', '도', '학교', '이다']",442,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,2,2
446,현실적으로 이러한 고등학교 가운데 어떤 고등학교를 가는게 좋을까요,"['현실', '이러하다', '고등학교', '가운데', '어떻다', '고등학교', '가다', '좋다']",448,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,3,3
447,내년에 18살로 고 2가 되는 고등학생 입니다,"['내년', '살로', '고', '가다', '되다', '고등학생', '이다']",449,0,0,-1,0,5,5,,,,,,,,,,,,,,
453,저에게는 어떤 학과가 적절할까요,"['어떻다', '학과', '적절하다', '요']",455,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,33,33
460,두번째는 국제공무원인데 언어쪽에 관심이 있는 것을 장점으로 만들어보고 싶었고 사회에도 관심이 있어서 생각해보게 되었습니다,"['두번째', '국제', '공무원', '언어', '쪽', '관심', '장점', '만들다', '보고', '싶다', '사회', '관심', '생각', '해보다', '되어다']",462,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,39,39,,
466,물론 그냥 이걸로 정하려는게 아니라 그쪽으로 좀 더 알아보고 싶어서 질문합니다,"['그냥', '걸', '정', '하다', '아니다', '쪽', '더', '알아보다', '싶다', '질문', '하다']",468,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,
472,아직 자료가 많이 없어서 구체적으로 어떤 일을 하는 직종인지 어떤 학과가 더 연관성있는지 궁금해서 질문 올립니다1 스마트팜 농업기사는 무슨 일을 하나요,"['자료', '없다', '구체', '어떻다', '하다', '직종', '어떻다', '학과', '더', '연관', '궁금하다', '질문', '올리다', '스마트', '파다', '농업', '기사', '하나요']",474,0,0,-1,0,0,0,0,0,0,0,0,0,3,3,,,,,,
480,안녕하세요,['안녕하다'],482,1,1,,,,,,,,,,,,,,,,,,
483,천문 올림피아드를 하며 제가 정말 천문을 더 깊이 공부하고 싶다는 느낌이 들었고 이와 관련된 여러 노력을 통해 서울대연대 수시 1차를 합격하여 면접까지 보고 왔습니다,"['천문', '올림피아드', '하다', '정말', '천문', '더', '깊이', '공부', '싶다', '느낌', '들다', '관련', '되다', '여러', '노력', '통해', '서울대', '연대', '수시', '차', '합격', '하다', '면접', '보고', '오다']",485,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,6,,,,
504,저는 어떻게 해야 할까요,"['어떻다', '하다', '하다', '요']",506,0,0,7,4,,,,,,,,,,,,,,,,
510,저는IT나 자동차 쪽으로 관심이있습니다,"['자동차', '쪽', '관심']",512,0,0,-1,0,-1,0,3,3,,,,,,,,,,,,
513,운동은 엄청나게 좋아하구요,"['운동', '엄청나다', '좋아하다']",515,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,26,26
516,이것도제 장래가 부사관이나 ROTC 또는 물리치료사가 꿈인데 이 등급대로 갈 수 있는 대학이 있을까요,"['도제', '장래', '부사관', '물리치료사', '꿈', '등급', '갈다', '수', '대학']",518,0,0,-1,0,-1,0,11,11,,,,,,,,,,,,
